Time,Remote DRAM Accesses,Local DRAM Accesses
320.343069555,13790913,14700570
322.344843143,14132847,14919266
324.347073222,15080965,16003470
326.34884416,14799596,15306575
328.351057619,15349508,15830883
330.352843078,15406706,15741649
332.355064241,15656895,15778235
334.356845255,16391874,16549831
336.35907037,16565788,16587324
338.360844334,16671632,16385174
340.363075857,17824887,17576872
342.36539064,17921572,17350400
344.367828322,18766945,17989340
346.369908583,19442242,18397725
348.372350351,19132377,17809329
350.374431145,20124277,18784971
352.376861767,19862448,18225056
354.400842853,20954243,19098563
356.403088731,20829328,18767715
358.405386855,20885492,18620149
360.407825812,21907960,19420232
362.40991075,21872465,19195233
364.41235244,22229353,19359542
366.414435898,23241323,20100143
368.416867,23198628,19802853
370.419408508,24249086,20555965
372.420844481,24071846,20173442
374.423068729,24620119,20546266
376.424845005,25522216,21228293
378.427071574,25680201,21062531
380.428847848,26649405,21760758
382.431066345,26656825,21567057
384.432845399,27227544,21935162
386.435066124,28125303,22616063
388.436843502,28135044,22369481
390.439296529,29044161,22974203
392.4413867,29856674,23453830
394.44382938,29629217,23111253
396.445908872,30969296,23960716
398.448352383,31069807,23850883
400.450433861,31555834,24016199
402.452867092,32788806,24892058
404.455314717,32547252,24515346
406.456844003,33976359,25500358
408.459064569,34058358,25300995
410.460845309,34647323,25554089
412.463064149,36076810,26457906
414.46484561,36102306,26234342
416.467077253,37105357,26772795
418.468845851,40721072,28479324
420.471258062,38010998,27095506
422.473384566,39068049,27804501
424.475815497,39228915,27735271
426.477911511,40176777,28136806
428.480307117,41317555,28906952
430.482433674,41121274,28579385
432.484809768,42164072,29219022
434.487052616,42299867,29247337
436.488845984,42906868,29458771
438.491072558,44294047,30260381
440.492843673,44132083,29978289
442.495067779,45397612,30729658
444.497388396,46019670,31018799
446.49977746,46380494,31088088
448.501919471,46963040,31378130
450.504328954,47610466,31648911
452.506439353,48461847,32033853
454.508852486,49228277,32344240
456.511298513,49925727,32706211
458.51339155,50918706,33172953
460.515796537,52282018,33922205
462.517911041,52478714,33896123
464.520310838,53335289,34310516
466.522438812,54668195,35030700
468.524820069,54767161,35005752
470.527249136,56328111,35841106
472.529390875,56312806,35766802
474.531803094,56867935,36072661
476.532846224,58486770,36937581
478.535079851,58398719,36832734
480.536846541,59576559,37457426
482.539079099,60516690,37940477
484.540846078,61120049,38159566
