Time,numa_numa_remote,numa_numa_local,numa_regular_remote,numa_regular_local,numa_reverse_remote,numa_reverse_local,regular_numa_remote,regular_numa_local,regular_regular_remote,regular_regular_local,regular_reverse_remote,regular_reverse_local
60.065493013,0,0,0,0,0,0,0,0,0,0,3618,123215
60.065494213,21317,177661,0,0,0,0,0,0,0,0,0,0
62.067124611,0,0,0,0,0,0,0,0,2813,121836,0,0
62.06713267,0,0,0,0,21067,171706,0,0,0,0,0,0
62.067338114,0,0,0,0,0,0,2909,122622,0,0,0,0
62.067354786,0,0,24009,175969,0,0,0,0,0,0,0,0
62.067680969,0,0,0,0,0,0,0,0,0,0,3166,122287
62.067686035,19948,168540,0,0,0,0,0,0,0,0,0,0
64.069287337,0,0,0,0,0,0,0,0,3052,120923,0,0
64.069293781,0,0,0,0,25296,184658,0,0,0,0,0,0
64.069523801,0,0,0,0,0,0,2757,120484,0,0,0,0
64.069528697,0,0,22374,171440,0,0,0,0,0,0,0,0
64.069826896,0,0,0,0,0,0,0,0,0,0,3189,121811
64.069875329,22504,173209,0,0,0,0,0,0,0,0,0,0
66.071432893,0,0,0,0,17336,167854,0,0,0,0,0,0
66.071458204,0,0,0,0,0,0,0,0,3328,121513,0,0
66.07169191,0,0,0,0,0,0,2867,122337,0,0,0,0
66.071695946,0,0,19200,172090,0,0,0,0,0,0,0,0
66.072008234,0,0,0,0,0,0,0,0,0,0,3235,121906
66.072046229,19530,178053,0,0,0,0,0,0,0,0,0,0
68.073650933,0,0,0,0,18024,167825,0,0,0,0,0,0
68.073670593,0,0,0,0,0,0,0,0,2820,120381,0,0
68.073884131,0,0,19340,172525,0,0,0,0,0,0,0,0
68.073911232,0,0,0,0,0,0,2606,120412,0,0,0,0
68.074234034,0,0,0,0,0,0,0,0,0,0,3233,121697
68.074260311,16590,169978,0,0,0,0,0,0,0,0,0,0
70.075815476,0,0,0,0,24714,181226,0,0,0,0,0,0
70.075835661,0,0,0,0,0,0,0,0,5894,147578,0,0
70.076062823,0,0,21429,170201,0,0,0,0,0,0,0,0
70.076084187,0,0,0,0,0,0,2485,119831,0,0,0,0
70.076403115,0,0,0,0,0,0,0,0,0,0,3633,123029
70.076446854,22429,181262,0,0,0,0,0,0,0,0,0,0
72.077987988,0,0,0,0,18796,168448,0,0,0,0,0,0
72.078006648,0,0,0,0,0,0,0,0,2871,119717,0,0
72.078236303,0,0,19914,176517,0,0,0,0,0,0,0,0
72.078262617,0,0,0,0,0,0,2601,120661,0,0,0,0
72.078587057,0,0,0,0,0,0,0,0,0,0,3245,120472
72.078636268,16729,170879,0,0,0,0,0,0,0,0,0,0
74.080166871,0,0,0,0,20669,172491,0,0,0,0,0,0
74.080171277,0,0,0,0,0,0,0,0,2862,113890,0,0
74.080412648,0,0,17315,166850,0,0,0,0,0,0,0,0
74.080439533,0,0,0,0,0,0,2390,114889,0,0,0,0
74.080788239,0,0,0,0,0,0,0,0,0,0,2993,114294
74.080822983,16815,168644,0,0,0,0,0,0,0,0,0,0
76.082317943,0,0,0,0,25272,174428,0,0,0,0,0,0
76.082341528,0,0,0,0,0,0,0,0,3461,110554,0,0
76.082585578,0,0,21240,171651,0,0,0,0,0,0,0,0
76.082612482,0,0,0,0,0,0,2965,111441,0,0,0,0
76.08299291,0,0,0,0,0,0,0,0,0,0,3583,112255
76.083015754,24428,178713,0,0,0,0,0,0,0,0,0,0
78.08447378,0,0,0,0,23075,169875,0,0,0,0,0,0
78.084514699,0,0,0,0,0,0,0,0,2668,109400,0,0
78.084760409,0,0,22793,178770,0,0,0,0,0,0,0,0
78.084778141,0,0,0,0,0,0,2911,110410,0,0,0,0
78.0851933,0,0,0,0,0,0,0,0,0,0,3346,110665
78.085205866,22434,168689,0,0,0,0,0,0,0,0,0,0
80.086642134,0,0,0,0,21420,177575,0,0,0,0,0,0
80.086676497,0,0,0,0,0,0,0,0,3485,110104,0,0
80.086938093,0,0,19653,166271,0,0,0,0,0,0,0,0
80.086958363,0,0,0,0,0,0,2799,110170,0,0,0,0
80.087352398,0,0,0,0,0,0,0,0,0,0,3491,111577
80.087381752,21004,175795,0,0,0,0,0,0,0,0,0,0
